,Mkt-RF,SMB,HML,RF
201607,4.48,1.28,0.46,0.02
201608,0.29,0.3,2.19,0.02
201609,0.9,2.32,-1.23,0.02
201610,-1.88,-1.47,4.09,0.02
201611,1.39,0.25,4.39,0.01
201612,2.25,-0.48,2.76,0.03
201701,2.72,0.4,-0.53,0.04
201702,2.28,-0.6,-1.74,0.04
201703,1.48,0.3,-1.81,0.03
201704,1.86,0.36,-1.39,0.05
201705,2.2,-0.43,-2.59,0.06
201706,0.6,1.67,1.74,0.06
201707,2.51,-0.05,1.02,0.07
201708,0.13,-0.14,-1.34,0.09
201709,2.3,1.27,1.64,0.09
201710,1.8,-0.87,-0.9,0.09
201711,1.93,-0.71,-0.13,0.08
201712,1.38,0.9,0.11,0.09
201801,5.15,-1.05,-1.43,0.11
201802,-4,0.82,-1.79,0.11
201803,-1.76,1.23,-0.42,0.12
201804,0.93,-0.54,1.76,0.14
201805,0.49,1.88,-4.52,0.14
201806,-0.49,-0.69,-1.39,0.14
201807,2.53,-2.52,1.19,0.16
201808,0.87,-0.5,-4.19,0.16
201809,0.32,-1.49,0.3,0.15
201810,-8.19,-2.53,2.44,0.19
201811,0.88,-0.51,-1.22,0.18
201812,-7.67,-1.01,0.56,0.19
201901,7.47,-0.09,-0.71,0.21
201902,2.94,0.23,-2.09,0.18
201903,0.76,-1.84,-3.28,0.19
201904,3.44,-1.25,-0.26,0.21
201905,-5.99,0.67,-1.7,0.21
201906,6.13,-1.98,-0.17,0.18
201907,-0.07,-1.08,-0.63,0.19
201908,-2.55,-1.4,-2.7,0.16
201909,1.9,-0.48,4.15,0.18
201910,2.56,0.81,-0.53,0.15
201911,2.74,0.32,-2.22,0.12
201912,3.05,1.27,0.62,0.14
202001,-1.2,-2.16,-4.33,0.13
202002,-8.54,-1.23,-1.07,0.12
202003,-13.77,-3.29,-9.3,0.12
202004,10.68,2.34,-4.62,0
202005,5.3,2.65,-5.1,0.01
202006,2.76,0.19,-1.73,0.01
202007,4.34,-1.26,-3.64,0.01
202008,6.84,1.45,-3.88,0.01
202009,-2.99,2.39,-2.46,0.01
202010,-2.6,1.21,2.04,0.01
202011,13.34,0.67,4.34,0.01
202012,4.82,3.31,-1.2,0.01
202101,-0.54,2.97,1.01,0
202102,2.88,0.43,7.46,0
202103,3.12,-2.34,5.58,0
202104,4.49,-1.04,-1.97,0
202105,1.65,-0.44,4.14,0
202106,1.01,-0.29,-5.23,0
202107,1.04,-2.31,-1.67,0
202108,2.42,0.1,-1.71,0
202109,-3.81,0.77,3.86,0
202110,5.04,-3.29,-1.48,0
202111,-2.64,-2.06,-2.21,0
202112,3.63,-1.77,3.9,0.01
202201,-5.58,-4.16,11.96,0
202202,-2.25,1.75,2.89,0
202203,2.16,-1.82,-1.1,0
202204,-8.17,-0.31,4.95,0
202205,0.28,-1.21,6.14,0.03
202206,-8.69,-0.08,-1.41,0.06
202207,7.79,0.27,-5.48,0.08
202208,-4.22,0.42,2.49,0.19
202209,-9.46,-1.66,1.89,0.19
202210,6.79,-2.02,4.41,0.23
202211,7.25,-0.24,-0.28,0.29
202212,-4.33,2.14,2.51,0.33
202301,6.92,0.98,-1.89,0.35
202302,-2.67,-0.04,0.69,0.34
202303,2.27,-3.23,-6.92,0.36
202304,1.22,-1.75,1,0.35
202305,-1.61,-0.66,-4.76,0.36
202306,5.6,-1.58,1.04,0.4
202307,2.96,0.74,3.43,0.45
202308,-3.06,-1.74,-0.36,0.45
202309,-4.79,-1.36,3.3,0.43
202310,-3.76,-2.8,0.36,0.47
202311,8.63,-0.41,-1.68,0.44
202312,4.97,3.52,1.11,0.43
202401,0.09,-3.51,-0.03,0.47
202402,3.75,-2.3,-1.35,0.42
202403,2.87,-1.14,4.06,0.43
202404,-4.19,-0.93,1.33,0.47
202405,4.05,0.25,-0.95,0.44
202406,0.83,-2.42,-4.46,0.41
202407,1.81,3.85,3.36,0.45
202408,1.83,-1.98,-1.93,0.48
202409,1.51,0.13,-0.72,0.4
202410,-2.47,-2.09,1.29,0.39
202411,4.08,-0.79,0.61,0.4
202412,-3.15,-0.91,-2.2,0.37
202501,3.22,-1.49,0.82,0.37
202502,-1.22,-1.96,3.75,0.33
202503,-4.36,1.65,4.42,0.34
202504,0.87,2.28,-3.29,0.35
202505,5.57,0.02,-1.46,0.38
202506,4.1,0.47,0.01,0.34
202507,0.68,-0.44,-0.1,0.35
